mean,min,max,class
-6.21035,-332.81894,132.38809,turkmence
-5.798777,-334.18472,125.71816,turkmence
-4.4596777,-258.0036,120.0998,turkmence
-4.531465,-242.98528,130.64175,turkmence
-6.5434875,-336.53586,134.2138,turkmence
-6.367578,-337.42612,136.25696,turkmence
-6.3266363,-330.42288,124.59585,turkmence
-6.427152,-343.24396,119.6747,turkmence
-6.2538652,-349.72192,127.579185,turkmence
-6.5030446,-350.18536,123.04381,turkmence
-6.285989,-340.42764,119.78139,turkmence
-6.203517,-319.59836,121.481735,turkmence
-6.167794,-352.9214,130.81317,turkmence
-6.295932,-343.03592,131.93474,turkmence
-6.341991,-333.50092,132.84326,turkmence
-6.2608843,-329.33606,133.553,turkmence
-6.3152623,-343.3451,118.34725,turkmence
-6.3300247,-340.73972,135.24825,turkmence
-6.061418,-334.481,132.33363,turkmence
-6.117925,-340.84525,126.84198,turkmence
-6.4588423,-336.03134,142.17862,turkmence
-6.117244,-344.1856,126.17051,turkmence
-6.096666,-344.25772,124.39959,turkmence
-6.4087205,-343.71957,125.39672,turkmence
-6.5314565,-336.6073,130.78804,turkmence
-6.403055,-350.48187,129.33255,turkmence
-6.3761296,-346.78845,127.68916,turkmence
-6.2027893,-340.96216,128.48903,turkmence
-6.3401814,-327.78528,115.007065,turkmence
-6.064852,-352.25577,115.13595,turkmence
-6.6839366,-354.45526,137.6626,turkmence
-6.5820923,-353.0039,122.82091,turkmence
-6.448033,-349.292,112.224556,turkmence
-6.4956875,-353.98175,133.99811,turkmence
-6.5031514,-357.38968,116.510544,turkmence
-6.504627,-351.5339,134.74585,turkmence
-6.5186076,-363.1892,124.41291,turkmence
-6.4716053,-343.48727,131.45168,turkmence
-6.3707924,-365.86716,122.22073,turkmence
-6.2576127,-343.15775,135.20996,turkmence
-6.5606484,-357.8426,119.64768,turkmence
-6.492307,-357.50034,129.4732,turkmence
-6.2534804,-353.23328,134.48161,turkmence
-6.3072205,-346.18823,138.19588,turkmence
-6.604464,-363.0903,137.38847,turkmence
-6.320584,-351.5358,145.50253,turkmence
-6.2388897,-357.73773,131.86917,turkmence
-6.301503,-343.3927,134.98196,turkmence
-6.491093,-347.25073,125.97847,turkmence
-6.390412,-351.44052,142.3232,turkmence
-6.6501737,-354.38922,136.80719,turkmence
-6.488523,-350.67496,127.30645,turkmence
-6.7267094,-373.1916,127.73805,turkmence
-6.449735,-347.9598,128.7006,turkmence
-6.2342157,-351.10504,140.1349,turkmence
-6.524536,-362.82358,130.43068,turkmence
-6.5854435,-361.0504,113.62017,turkmence
-6.357962,-348.00885,139.9995,turkmence
-6.4897294,-397.2161,126.04283,turkmence
-3.6136122,-262.48276,138.78601,turkmence
-4.2463803,-299.1133,131.09955,turkmence
-4.1591525,-314.29773,112.05765,turkmence
-4.357926,-274.8672,121.83027,turkmence
-5.439756,-333.78198,112.07984,turkmence
-5.838668,-343.005,122.36187,turkmence
-5.8189015,-342.0173,111.15842,turkmence
-5.7855444,-350.6955,109.02934,turkmence
-6.1282897,-373.62698,102.21442,turkmence
-6.019798,-378.549,104.227486,turkmence
-4.094231,-276.54025,115.16798,turkmence
-4.2627172,-284.2515,132.47307,turkmence
-4.377335,-288.25406,131.69818,turkmence
-4.2451406,-281.99997,122.48851,turkmence
-4.4933276,-291.6051,119.95946,turkmence
-4.452446,-287.72757,121.96594,turkmence
-4.341846,-266.43094,123.42074,turkmence
-4.5165997,-318.04697,122.36728,turkmence
-4.909637,-307.69806,111.53387,turkmence
-5.423291,-321.34857,99.66237,turkmence
-5.5530787,-328.51938,101.633446,turkmence
-5.630681,-329.9027,112.42287,turkmence
-5.765635,-359.40356,107.53885,turkmence
-5.5277467,-319.22488,100.44186,turkmence
-5.3813276,-320.6945,106.97209,turkmence
-5.5373445,-324.85855,94.92998,turkmence
-5.5521927,-329.66385,117.54681,turkmence
-5.117105,-329.88196,109.33481,turkmence
-4.331772,-274.07547,121.659164,turkmence
-4.4259715,-293.70566,135.32416,turkmence
-4.3911114,-279.9438,126.431786,turkmence
-4.2401147,-274.42746,138.06302,turkmence
-4.321516,-327.23578,115.71765,turkmence
-5.0483623,-280.6372,112.64008,turkmence
-4.868187,-251.6651,120.86579,turkmence
-4.944512,-274.07993,129.72925,turkmence
-4.8278437,-265.4892,120.43145,turkmence
-4.9531612,-260.9986,123.76095,turkmence
-4.4288993,-258.50095,147.9247,turkmence
-4.834114,-256.13092,117.51803,turkmence
-4.604216,-247.74986,116.58054,turkmence
